,Unnamed: 0,title,author,date,thumb,excerpt,article_url,website_name
0,0,Rising Whale Activity on These Three Ethereum-Based Altcoins a Sign of Potential Bullish Turnaround: Santiment,Mark Emem,"October 14, 2023",https://dailyhodl.com/wp-content/uploads/2023/10/Rising-Whale-Activity.jpg?w=350&h=250&crop=1,Crypto analytics platform Santiment says that three altcoins are showing signs of potentially reversing course...,https://dailyhodl.com/2023/10/14/rising-whale-activity-on-these-three-ethereum-based-altcoins-a-sign-of-potential-bullish-turnaround-santiment/,The Daily Hodl
1,1,"Cardano on the Cusp of a ‘Decisive Move’ to the Downside, Says Top Analyst Benjamin Cowen – Here’s the Timeline",Mark Emem,"October 14, 2023",https://dailyhodl.com/wp-content/uploads/2023/10/Cardano-on-the-Cusp.jpg,A widely followed crypto strategist believes Cardano (ADA) is close to making a steep move...,https://dailyhodl.com/2023/10/14/cardano-on-the-cusp-of-a-decisive-move-to-the-downside-says-top-analyst-benjamin-cowen-heres-the-timeline/,The Daily Hodl
2,2,"$81,000,000,000 in Bank Transfers Abruptly Halted As JPMorgan Chase and Big Banks Encounter Major Glitch in Japan: Report",Daily Hodl Staff,"October 13, 2023",https://dailyhodl.com/wp-content/uploads/2023/10/bank-transfers-frozen-dollar.jpg,Engineers are investigating a banking glitch that triggered a total shutdown of billions upon billions...,https://dailyhodl.com/2023/10/13/81000000000-in-bank-transfers-abruptly-halted-as-jpmorgan-chase-and-big-banks-encounter-major-glitch-in-japan-report/,The Daily Hodl
3,3,"Wells Fargo Denies Wrongdoing After Freezing $204,000 in Customer’s Account, Facing Lawsuit for Damages",Daily Hodl Staff,"October 13, 2023",https://dailyhodl.com/wp-content/uploads/2023/10/bank-freezing-dollars.jpg,"Wells Fargo says it did nothing wrong when freezing $204,000 in a customer's account –...",https://dailyhodl.com/2023/10/13/wells-fargo-denies-wrongdoing-after-freezing-204000-in-customers-account-facing-lawsuit-for-damages/,The Daily Hodl
4,4,"Trader Says Altcoin That’s Exploded 370% in Four Months May Soon Witness Steep Correction, Updates Outlook on Bitcoin and Dogecoin",Mark Emem,"October 13, 2023",https://dailyhodl.com/wp-content/uploads/2023/10/trader-four-months.jpg,A crypto analyst says an under-the-radar altcoin could undergo steep correction after surging by triple-digit...,https://dailyhodl.com/2023/10/13/trader-says-altcoin-thats-exploded-370-in-four-months-may-soon-witness-steep-correction-updates-outlook-on-bitcoin-and-dogecoin/,The Daily Hodl
5,5,"Whales Abruptly Move $749,000,000 in Bitcoin, Ethereum, XRP and Shiba Inu – Here’s Where the Crypto Is Heading",Mehron Rokhy,"October 13, 2023",https://dailyhodl.com/wp-content/uploads/2022/11/btc-massive-whale.jpg,New data reveals deep-pocketed crypto investors are suddenly shifting hundreds of millions of dollars worth...,https://dailyhodl.com/2023/10/13/whales-abruptly-move-749000000-in-bitcoin-ethereum-xrp-and-shiba-inu-heres-where-the-crypto-is-heading/,The Daily Hodl
6,6,"Here’s What’s Next for Bitcoin If Past Patterns Are Prologue, According to Rekt Capital",Daily Hodl Staff,"October 13, 2023",https://dailyhodl.com/wp-content/uploads/2023/06/Rally-Since-Dotcom-btc.jpg,A widely followed crypto analyst is breaking down Bitcoin (BTC) by looking at its historical...,https://dailyhodl.com/2023/10/13/heres-whats-next-for-bitcoin-if-past-patterns-are-prologue-according-to-rekt-capital/,The Daily Hodl
7,7,"Upcoming Bitcoin Halving Unlikely To Be Bullish Catalyst, Says Crypto Analyst Nicholas Merten – Here’s Why",Daily Hodl Staff,"October 13, 2023",https://dailyhodl.com/wp-content/uploads/2022/03/change-launch-bitcoin.jpg,Crypto analyst Nicholas Merten believes Bitcoin’s (BTC) next halving will not ignite the renewed bull...,https://dailyhodl.com/2023/10/13/upcoming-bitcoin-halving-unlikely-to-be-a-bullish-catalyst-says-crypto-analyst-nicholas-merten-heres-why/,The Daily Hodl
8,8,Mastercard and Reserve Bank of Australia Test CBDC on Ethereum Utilizing ‘Authorized Parties’,Conor Devitt,"October 13, 2023",https://dailyhodl.com/wp-content/uploads/2023/10/test-restrict-it.jpg,Payments processing giant Mastercard and the Reserve Bank of Australia (RBA) have successfully tested the...,https://dailyhodl.com/2023/10/13/mastercard-and-reserve-bank-of-australia-test-cbdc-on-ethereum-utilizing-authorized-parties/,The Daily Hodl
9,9,Ex-CEO Pleads Guilty to Defrauding Investors With ‘Cherry-Picking’ Scheme Involving Crypto Futures Contracts,Rhodilee Jean Dolor,"October 13, 2023",https://dailyhodl.com/wp-content/uploads/2023/10/pleads-cherry-picking.jpg,The former CEO of an investment firm marketed as offering algorithmic trading strategies involving crypto...,https://dailyhodl.com/2023/10/13/ex-ceo-pleads-guilty-to-defrauding-investors-with-cherry-picking-scheme-involving-crypto-futures-contracts/,The Daily Hodl
10,10,"$4,860,000 To Be Given Away As US City Becomes Latest Basic Income Testing Ground",Daily Hodl Staff,"October 13, 2023",https://dailyhodl.com/wp-content/uploads/2023/05/dollar-money-printing.jpg,A major US city is preparing to launch a multi-million dollar basic income pilot. The...,https://dailyhodl.com/2023/10/13/4860000-to-be-given-away-as-us-city-becomes-latest-basic-income-testing-ground/,The Daily Hodl
11,11,"Bitcoin Is the Only ‘Neutral Internet Money’ There Will Ever Be, Says Ex-PayPal President David Marcus – Here’s Why",Mark Emem,"October 13, 2023",https://dailyhodl.com/wp-content/uploads/2023/10/Neutral-Internet-Money-btc.jpg,"The former president of PayPal and ex-Facebook vice-president, David Marcus, says Bitcoin (BTC) is in...",https://dailyhodl.com/2023/10/13/bitcoin-is-the-only-neutral-internet-money-there-will-ever-be-says-ex-paypal-president-david-marcus-heres-why/,The Daily Hodl
12,12,"Here’s When Ethereum Competitor Cardano May Witness Long-Awaited Breakout, According to Crypto Trader",Daily Hodl Staff,"October 13, 2023",https://dailyhodl.com/wp-content/uploads/2023/10/Competitor-Cardano-Could-Be-.jpg,A popular crypto analyst says Ethereum (ETH) challenger Cardano (ADA) may be approaching a long-awaited...,https://dailyhodl.com/2023/10/13/heres-when-ethereum-competitor-cardano-may-witness-long-awaited-breakout-according-to-crypto-trader/,The Daily Hodl
